time,price
1.52029E+12,2775.88
1.52047E+12,2765.32
1.52081E+12,2756.59
1.52099E+12,2761.01
1.52116E+12,2739.79
1.5215E+12,2751
1.52168E+12,2786.55
1.52202E+12,2815
1.5222E+12,2792.22
1.52237E+12,2770.84
1.52271E+12,2767.14
1.52289E+12,2771.09
1.52323E+12,2777.2
1.5234E+12,2807.68
1.52358E+12,2815.24
1.52392E+12,2847.29
1.5241E+12,2868.32
1.52444E+12,2859.9
1.52461E+12,2862.09
1.52479E+12,2831.97
1.52513E+12,2812.3
1.52531E+12,2799.54
1.52565E+12,2829.3
1.526E+12,2852.83
1.52634E+12,2900.97
1.52652E+12,2813.06
1.52703E+12,2843.6
1.52755E+12,2843.14
1.52772E+12,2820.66
1.52807E+12,2791.57
1.52824E+12,2777.58
1.52842E+12,2818.14
1.52876E+12,2819.29
1.52893E+12,2819.24
1.52928E+12,2812.88
1.52945E+12,2794.2
1.53006E+12,2777.09
1.53023E+12,2757.92
1.53058E+12,2753.67
1.53084E+12,2777.51
1.53118E+12,2789.39
1.53135E+12,2757.56
1.5317E+12,2739.02
1.53187E+12,2716.88
1.53204E+12,2691.44
1.53239E+12,2713.82
1.53256E+12,2719.73
1.53291E+12,2701.28
1.53317E+12,2690.63
1.53351E+12,2691.4
1.53369E+12,2679.93
1.53386E+12,2693.13
1.53429E+12,2722.06
1.53446E+12,2661.48
1.53481E+12,2677.21
1.53498E+12,2696.78
1.53533E+12,2702.61
1.5355E+12,2733.22
1.53567E+12,2738.59
1.53602E+12,2742.84
1.53619E+12,2789.36
1.53654E+12,2787.63
1.5368E+12,2802.42
1.53714E+12,2802.9
1.53732E+12,2799.97
1.53749E+12,2786.25
1.53783E+12,2806.46
1.53801E+12,2767.17
1.53835E+12,2788.43
1.53861E+12,2850.02
1.53896E+12,2827.4
1.53913E+12,2837
1.5393E+12,2886.23
1.53965E+12,2897.56
1.53982E+12,2891.23
1.54017E+12,2900.32
1.54034E+12,2894.24
1.54051E+12,2914.89
1.54086E+12,2901.19
1.54103E+12,2902.77
1.54138E+12,2891.9
1.54155E+12,2867.48
1.54172E+12,2823.69
1.54207E+12,2815.25
1.54224E+12,2784.38
1.54259E+12,2813.29
1.54276E+12,2811.59
1.54293E+12,2775.13
1.54328E+12,2780.77
1.54345E+12,2754.38
1.5438E+12,2785.43
1.54397E+12,2813.09
1.54414E+12,2833.09
1.54449E+12,2891.7
1.54466E+12,2866.39
1.545E+12,2843.85
1.54518E+12,2820.29
1.54535E+12,2836.1
1.5457E+12,2833.72
1.54587E+12,2868.09
1.54621E+12,2862.42
1.54639E+12,2895.24
1.54656E+12,2878.63
1.54691E+12,2897.4
1.54708E+12,2925.22
1.54742E+12,2939.42
1.5476E+12,2952.6
1.54777E+12,2936.73
1.54812E+12,2937.12
1.54829E+12,2929.92
1.54863E+12,2979.85
1.54881E+12,3005.41
1.54898E+12,3031.07
1.54932E+12,3025.6
1.5495E+12,3007.43
1.54984E+12,2984.67
1.55002E+12,2990.77
1.55019E+12,3023.58
1.55053E+12,3061.62
1.55071E+12,3045.36
1.55105E+12,3034.34
1.55123E+12,3030.36
1.5514E+12,2986.28
1.55174E+12,2915.56
1.55192E+12,2895.44
1.55226E+12,2901.87
1.55244E+12,2925.78
1.55261E+12,2893.18
1.55295E+12,2904
1.55313E+12,2894.6
1.55347E+12,2925.27
1.55364E+12,2916.13
1.55382E+12,2879.77
1.55416E+12,2861.91
1.55434E+12,2857.75
1.55468E+12,2907.55
1.55485E+12,2905.81
1.55503E+12,2876.14
1.55537E+12,2853.9
1.55555E+12,2848.08
1.55606E+12,2865.66
1.55624E+12,2894.31
1.55658E+12,2873.92
1.55676E+12,2832.48
1.55719E+12,2875.4
1.55736E+12,2904.09
1.55771E+12,2948.01
1.55788E+12,2926.3
1.55805E+12,2882.61
1.5584E+12,2852.6
1.55857E+12,2881.9
