time,price
1.559E+12,2861.21
1.55917E+12,2886.77
1.55952E+12,2935.8
1.55969E+12,2971.6
1.55987E+12,3005.34
1.56021E+12,2959.82
1.56038E+12,2989.52
1.56073E+12,3004.61
1.5609E+12,3010.91
1.56108E+12,3115.81
1.56142E+12,3185.8
1.56159E+12,3119.58
1.56194E+12,3089.95
1.56211E+12,3140.59
1.56228E+12,3072.86
1.56263E+12,3075.12
1.5628E+12,3101.94
1.56315E+12,3108.27
1.56332E+12,3139.75
1.56349E+12,3158.94
1.56384E+12,3158.6
1.56401E+12,3148.54
1.56436E+12,3140.36
1.56453E+12,3160.56
1.5647E+12,3240.22
1.56505E+12,3355.94
1.56522E+12,3392.06
1.56557E+12,3445.46
1.56574E+12,3473.47
1.56591E+12,3444.46
1.56626E+12,3460.31
1.56643E+12,3470.13
1.56686E+12,3532.89
1.56704E+12,3548.38
1.56738E+12,3532.57
1.56756E+12,3580.93
1.56773E+12,3503.83
1.56807E+12,3459.27
1.56825E+12,3452.9
1.56859E+12,3451.11
1.56876E+12,3449.52
1.56894E+12,3433.84
1.56928E+12,3471.4
1.56946E+12,3440.85
1.5698E+12,3362.64
1.56997E+12,3425.77
1.57015E+12,3437.78
1.57049E+12,3440.03
1.57067E+12,3409.28
1.57101E+12,3415.38
1.57118E+12,3412.08
1.57136E+12,3409.99
1.5717E+12,3383.16
1.57188E+12,3430.71
1.57222E+12,3394.59
1.57239E+12,3405.98
1.57257E+12,3432.82
1.57291E+12,3392.74
1.57308E+12,3386.79
1.57343E+12,3358.69
1.5736E+12,3392.32
1.57378E+12,3376.54
1.57412E+12,3386.4
1.57429E+12,3386.87
1.57464E+12,3367.72
1.57481E+12,3337.4
1.57499E+12,3361.33
1.57533E+12,3412.59
1.5755E+12,3384.54
1.57585E+12,3341.39
1.57602E+12,3340.3
1.5762E+12,3353.71
1.57654E+12,3372.69
1.57671E+12,3377
1.57706E+12,3399.1
1.57766E+12,3475.96
1.57801E+12,3568.1
1.57836E+12,3628.1
1.57853E+12,3551.89
1.57887E+12,3531.39
1.57905E+12,3525.85
1.57922E+12,3560.09
1.57956E+12,3551.52
1.57974E+12,3588.03
1.58008E+12,3627.88
1.58026E+12,3607.21
1.58043E+12,3638.91
1.58077E+12,3564.23
1.58095E+12,3581.64
1.58129E+12,3605.53
1.58147E+12,3587.38
1.58164E+12,3636.6
1.58198E+12,3653.41
1.58216E+12,3730.76
1.5825E+12,3881.69
1.58268E+12,3764.51
1.58285E+12,3767.11
1.58319E+12,3786.93
1.58337E+12,3916.48
1.58371E+12,3997.46
1.58388E+12,3925.42
1.58406E+12,3716.98
1.5844E+12,3652.37
1.58458E+12,3545.48
1.58492E+12,3752.27
1.58509E+12,4012.6
1.58527E+12,3914.58
1.58561E+12,3896.38
1.58579E+12,3947.43
1.58613E+12,4023.05
1.5863E+12,4031.09
1.58682E+12,4236.05
1.587E+12,4260.07
1.58734E+12,4161.7
1.58751E+12,4202.2
1.58769E+12,4232.77
1.58803E+12,4161.12
1.5882E+12,4118.19
1.58855E+12,4140.37
1.58872E+12,4132.19
1.58916E+12,4142.88
1.58933E+12,4147.79
1.5895E+12,4248.21
1.58985E+12,4241.5
1.59002E+12,4185.12
1.59045E+12,4151.95
1.59062E+12,4189.86
1.59097E+12,4219.92
1.59114E+12,4102.11
1.59132E+12,4073.05
1.59166E+12,4169.71
1.59183E+12,4269.26
1.59218E+12,4196.18
1.59235E+12,4233.1
1.59252E+12,4256.24
1.59287E+12,4287.46
1.59304E+12,4275.67
1.59339E+12,4305.19
1.59356E+12,4287.43
1.59373E+12,4259.23
1.59408E+12,4317.04
1.59425E+12,4364.48
1.5946E+12,4367.69
1.59477E+12,4367.65
1.59494E+12,4358.12
1.59529E+12,4400.29
1.59546E+12,4535.98
1.59581E+12,4671.02
1.59598E+12,4711.62
1.59615E+12,4751.42
1.5965E+12,4807.4
1.59667E+12,4964.41
1.59702E+12,4904.98
1.59719E+12,4678.69
1.59736E+12,4688.14
1.59771E+12,4779.41
1.59788E+12,4693.64
1.59823E+12,4604.34
1.5984E+12,4624.46
1.59857E+12,4614.17
1.599E+12,4577.04
1.59918E+12,4533.91
1.59952E+12,4557.69
1.5997E+12,4618.12
1.60004E+12,4624.13
1.60021E+12,4646.08
1.60039E+12,4621.64
1.60073E+12,4492.28
1.60091E+12,4422.24
1.60125E+12,4431.34
1.60142E+12,4474.25
1.6016E+12,4487.75
1.60194E+12,4511.31
1.60212E+12,4449.77
1.60246E+12,4539.11
1.60263E+12,4490.17
1.60281E+12,4489.86
1.60315E+12,4508.77
1.60332E+12,4497.47
1.60367E+12,4529.8
1.60384E+12,4465.62
1.60402E+12,4506.34
1.60436E+12,4550.28
1.60453E+12,4597.87
1.60488E+12,4431.03
1.60505E+12,4454.08
1.60523E+12,4539.27
1.60557E+12,4527.32
1.60574E+12,4433.27
1.60609E+12,4391.14
1.60626E+12,4305.85
1.60644E+12,4235.88
1.60678E+12,4278.53
1.60695E+12,4345.2
1.6073E+12,4405.8
1.60747E+12,4358.76
1.60764E+12,4364.5
1.60799E+12,4377.59
1.60816E+12,4474.29
1.60851E+12,4466.99
1.60868E+12,4449.79
1.60929E+12,4442.06
1.6098E+12,4575.12
1.60998E+12,4512.21
1.61032E+12,4355.59
1.6105E+12,4370.05
1.61067E+12,4326.52
1.61101E+12,4319.84
1.61119E+12,4375.93
1.61153E+12,4354.08
1.61171E+12,4313.74
1.61188E+12,4369.63
1.61222E+12,4307.17
1.6124E+12,4188.17
1.61274E+12,4292.96
1.61292E+12,4311.05
1.61309E+12,4238.94
1.61343E+12,4199.58
1.61361E+12,4140.75
1.61395E+12,4205.58
1.61412E+12,4163.12
1.6143E+12,4142.28
1.61464E+12,4069.13
1.61482E+12,4006.2
1.6149E+12,3984.89
